course_id,num_subscribers,num_reviews,num_lectures,content_duration,published_timestamp
1070968,2147,23,51,1.5,2017-01-18 20:58:58+00:00
1113822,2792,923,274,39.0,2017-03-09 16:34:20+00:00
1006314,2174,74,51,2.5,2016-12-19 19:26:30+00:00
1210588,2451,11,36,3.0,2017-05-30 20:07:24+00:00
1011058,1276,45,26,2.0,2016-12-13 14:57:18+00:00
192870,9221,138,25,3.0,2014-05-02 15:13:30+00:00
739964,1540,178,26,1.0,2016-02-21 18:23:12+00:00
403100,2917,148,23,2.5,2015-01-30 22:13:03+00:00
476268,5172,34,38,2.5,2015-05-28 00:14:03+00:00
1167710,827,14,15,1.0,2017-04-18 18:13:32+00:00
592338,4284,93,76,5.0,2015-09-11 16:47:02+00:00
975046,1380,42,17,1.0,2016-10-18 22:52:31+00:00
742602,3607,21,19,1.5,2016-02-03 18:04:01+00:00
794151,4061,52,16,2.0,2016-03-16 15:40:19+00:00
1196544,294,19,42,7.0,2017-04-28 16:41:44+00:00
504036,2276,106,19,1.5,2015-06-22 21:18:35+00:00
719698,4919,79,16,1.5,2016-01-08 17:21:26+00:00
564966,2666,115,52,4.0,2015-08-10 21:07:35+00:00
606928,5354,24,23,1.5,2015-09-21 18:10:34+00:00
58977,8095,249,12,0.5833333333333334,2013-06-09 00:21:26+00:00
1242604,809,3,25,2.0,2017-06-06 02:54:04+00:00
798740,2295,84,39,4.0,2016-05-02 19:26:48+00:00
506568,10149,83,16,2.0,2015-05-26 17:25:46+00:00
1020760,1916,38,23,1.0,2016-12-05 22:14:17+00:00
859742,2507,333,40,2.0,2016-05-30 18:53:46+00:00
383414,5786,518,50,5.0,2015-01-31 15:34:05+00:00
353044,5334,373,42,4.5,2014-11-28 17:49:03+00:00
447362,4005,237,25,2.0,2015-04-12 20:13:47+00:00
831066,2877,103,81,4.5,2016-04-26 22:41:46+00:00
1266306,1026,25,37,3.0,2017-06-27 22:21:31+00:00
1170894,1165,21,41,2.5,2017-05-28 23:41:03+00:00
948974,1843,171,35,1.5,2016-10-04 15:20:57+00:00
380970,8797,449,80,6.5,2015-01-09 03:55:15+00:00
1217778,1030,11,22,2.0,2017-06-01 05:22:08+00:00
1246208,1041,12,28,1.5,2017-06-11 19:02:03+00:00
434774,7884,118,68,10.0,2015-05-19 23:25:41+00:00
308690,16900,2476,52,5.5,2014-12-12 23:58:39+00:00
888716,11441,1118,61,4.5,2016-06-28 06:12:23+00:00
321410,22257,2697,138,7.5,2014-11-25 23:00:40+00:00
965832,8575,809,110,5.5,2016-10-10 16:16:26+00:00
648826,24481,2347,174,10.0,2016-01-21 01:38:48+00:00
1035472,3811,278,103,6.5,2017-03-30 22:17:09+00:00
1154754,4991,137,79,11.5,2017-03-29 22:36:05+00:00
627540,7489,1190,25,1.0,2015-10-22 21:54:28+00:00
301442,20195,1113,227,16.0,2014-10-27 22:01:36+00:00
640100,10042,594,43,3.0,2015-10-22 00:03:48+00:00
1247394,367,42,35,5.0,2017-06-21 23:18:47+00:00
260470,10603,872,42,5.5,2014-10-12 21:19:11+00:00
1214702,1197,11,46,5.0,2017-05-24 23:02:07+00:00
848664,2893,65,62,2.0,2016-08-10 15:27:06+00:00
1142570,1580,12,53,2.0,2017-05-02 21:20:54+00:00
325834,10605,71,77,3.0,2014-10-24 18:13:49+00:00
411168,2996,200,23,2.0,2015-03-09 00:24:38+00:00
885974,6219,23,20,1.0,2017-02-14 04:42:58+00:00
1151092,1113,11,17,1.5,2017-04-02 21:46:00+00:00
358326,8314,83,47,4.0,2015-01-24 06:31:19+00:00
153210,5572,123,33,5.5,2014-03-27 17:58:37+00:00
834836,1433,169,15,1.0,2016-05-09 05:44:33+00:00
1171994,936,6,11,1.5,2017-04-11 00:59:50+00:00
1239068,658,2,19,1.0,2017-06-02 18:12:45+00:00
985922,8121,689,40,3.5,2016-10-18 00:51:59+00:00
765562,4187,600,79,9.0,2016-02-29 18:45:41+00:00
165964,9445,497,38,4.5,2014-02-19 19:04:28+00:00
855172,3255,340,102,8.5,2016-06-20 20:17:12+00:00
258232,7941,713,40,6.5,2014-08-11 08:01:14+00:00
994754,1680,158,76,5.5,2016-11-26 04:09:14+00:00
43319,10100,985,45,11.0,2013-02-25 11:36:06+00:00
408440,5050,461,26,1.5,2015-02-10 04:21:40+00:00
918688,2310,162,26,3.5,2016-10-05 17:42:52+00:00
308694,5528,506,32,3.0,2015-02-19 11:31:27+00:00
199450,6451,237,28,5.0,2014-04-16 13:58:31+00:00
401784,12394,218,30,2.5,2015-02-20 21:39:41+00:00
1122792,1793,18,15,1.0,2017-03-03 21:43:05+00:00
709500,3223,240,23,1.0,2016-03-30 15:29:03+00:00
285638,16385,273,45,3.0,2014-09-02 03:53:13+00:00
1135126,1487,16,18,2.0,2017-03-08 21:09:41+00:00
834558,2951,232,60,4.0,2016-05-04 05:22:32+00:00
551968,2697,331,15,1.0,2015-08-13 18:58:05+00:00
1005658,3979,40,39,5.0,2016-11-09 01:45:20+00:00
746432,3190,244,45,4.0,2016-02-03 17:10:31+00:00
1057242,1406,71,54,1.5,2017-01-18 20:55:27+00:00
284118,4252,225,24,2.0,2014-09-19 04:07:58+00:00
302562,11958,370,134,11.5,2014-10-02 09:16:55+00:00
596598,7743,340,33,1.5,2015-09-10 00:30:48+00:00
860890,2134,55,5,1.0,2016-07-13 18:37:40+00:00
951050,1214,69,20,1.5,2016-10-07 04:58:46+00:00
796450,3870,53,10,1.0,2016-03-21 21:09:49+00:00
502772,2146,212,49,4.5,2015-06-16 22:43:07+00:00
1102462,484,57,19,1.0,2017-03-14 18:30:55+00:00
1062092,1057,15,14,1.5,2017-01-11 20:48:19+00:00
891484,1754,100,49,2.5,2016-06-30 17:06:46+00:00
1217064,1239,5,6,0.7,2017-05-23 16:07:09+00:00
382204,2493,276,108,9.5,2015-01-31 19:02:09+00:00
308696,2602,402,57,5.0,2015-10-28 17:32:56+00:00
474928,2000,30,9,1.0,2015-04-13 20:28:04+00:00
1148774,1514,66,11,0.55,2017-03-23 22:19:57+00:00
959144,1361,1,14,3.0,2016-10-04 23:38:32+00:00
1233350,61,18,30,1.5,2017-06-09 17:01:05+00:00
572744,1513,31,60,5.5,2015-08-04 19:16:51+00:00
724062,1374,19,9,2.0,2016-01-14 18:58:56+00:00
474212,2103,15,6,1.5,2015-04-12 22:28:45+00:00
771276,1480,25,25,1.5,2016-03-21 17:00:37+00:00
388164,2516,12,20,1.5,2015-01-08 13:55:52+00:00
133536,50855,2698,15,1.5,2013-12-25 19:53:34+00:00
655300,1971,13,20,1.5,2015-12-03 17:08:10+00:00
949504,837,9,19,1.0,2016-10-03 17:32:40+00:00
265960,17160,620,23,1.0,2014-08-29 20:10:38+00:00
680044,1723,38,24,1.0,2015-12-14 18:29:57+00:00
923616,6811,151,51,2.0,2016-08-05 17:03:15+00:00
741898,2060,17,30,4.5,2016-01-28 21:43:31+00:00
381330,2318,19,16,5.0,2014-12-31 03:29:21+00:00
545918,2153,14,13,1.5,2015-07-27 18:39:51+00:00
191854,19339,794,9,2.0,2014-03-31 21:35:06+00:00
471546,3177,8,8,1.0,2015-04-16 17:35:54+00:00
866584,1535,16,462,62.0,2016-06-03 17:42:27+00:00
889824,1027,29,25,1.5,2016-07-18 22:38:56+00:00
1191504,307,8,5,0.1333333333333333,2017-05-01 18:50:43+00:00
585752,2096,48,29,0.6833333333333333,2015-08-24 22:16:54+00:00
671578,1315,48,59,2.5,2015-11-18 22:40:10+00:00
151668,29167,1463,8,1.5,2014-05-27 16:22:16+00:00
1105344,1056,1,42,3.0,2017-02-09 19:33:52+00:00
44836,2212,194,24,4.5,2013-03-05 18:27:38+00:00
840300,2946,6,284,31.5,2016-05-05 23:07:43+00:00
1100054,271,48,47,3.5,2017-02-20 23:45:20+00:00
421054,3771,10,35,2.5,2015-02-13 14:37:18+00:00
528784,3143,11,39,3.0,2015-11-10 22:55:53+00:00
637430,1951,30,20,0.55,2015-10-13 21:07:22+00:00
236080,4022,35,14,1.0,2016-12-15 15:49:13+00:00
777444,11724,649,17,1.5,2016-03-04 05:58:09+00:00
474238,2283,54,16,2.0,2015-04-20 18:52:32+00:00
1245244,1181,1,18,1.0,2017-06-29 23:34:42+00:00
